[07/08/25 12:14:48] - Connection closed, reconnecting . . .
[07/08/25 12:22:01] - Connection closed, reconnecting . . .
[07/08/25 12:25:12] - Connection closed, reconnecting . . .
[07/08/25 12:29:14] - Connection closed, reconnecting . . .
[07/08/25 12:52:25] - Connection closed, reconnecting . . .
[07/08/25 12:56:57] - Connection closed, reconnecting . . .
[07/08/25 12:56:57] - Connection closed, reconnecting . . .
[07/08/25 13:04:11] - Connection closed, reconnecting . . .
[07/08/25 13:04:11] - Connection closed, reconnecting . . .
[07/08/25 13:11:24] - Connection closed, reconnecting . . .
[07/08/25 13:11:24] - Connection closed, reconnecting . . .
[07/08/25 13:18:36] - Connection closed, reconnecting . . .
[07/08/25 13:18:37] - Connection closed, reconnecting . . .
[07/08/25 13:25:48] - Connection closed, reconnecting . . .
[07/08/25 13:25:50] - Connection closed, reconnecting . . .
[07/08/25 13:33:03] - Connection closed, reconnecting . . .
[07/08/25 13:33:04] - Connection closed, reconnecting . . .
[07/08/25 13:40:16] - Connection closed, reconnecting . . .
[07/08/25 13:40:18] - Connection closed, reconnecting . . .
[07/08/25 13:47:30] - Connection closed, reconnecting . . .
[07/08/25 13:47:30] - Connection closed, reconnecting . . .
[07/08/25 13:54:44] - Connection closed, reconnecting . . .
[07/08/25 13:54:44] - Connection closed, reconnecting . . .
[07/08/25 13:58:37] - Connection closed, reconnecting . . .
[07/08/25 13:58:37] - Connection closed, reconnecting . . .
[07/08/25 13:59:05] - Device logged out
[07/08/25 14:02:41] - Device logged out
[07/08/25 14:02:43] - Connection closed, reconnecting . . .
[07/08/25 14:02:56] - Connection closed, reconnecting . . .
[07/08/25 14:06:33] - Device logged out
[07/08/25 14:09:08] - Connection closed, reconnecting . . .
[07/08/25 14:09:08] - Connection closed, reconnecting . . .
[07/08/25 14:48:19] - Connection closed, reconnecting . . .
[07/08/25 14:48:19] - Connection closed, reconnecting . . .
[07/08/25 14:54:43] - Connection closed, reconnecting . . .
[07/08/25 14:54:43] - Connection closed, reconnecting . . .
[07/08/25 15:01:56] - Connection closed, reconnecting . . .
[07/08/25 15:01:56] - Connection closed, reconnecting . . .
[07/08/25 15:09:08] - Connection closed, reconnecting . . .
[07/08/25 15:09:08] - Connection closed, reconnecting . . .
[07/08/25 15:16:20] - Connection closed, reconnecting . . .
[07/08/25 15:16:21] - Connection closed, reconnecting . . .
[07/08/25 15:23:36] - Connection closed, reconnecting . . .
[07/08/25 15:23:37] - Connection closed, reconnecting . . .
[07/08/25 15:30:51] - Connection closed, reconnecting . . .
[07/08/25 15:30:51] - Connection closed, reconnecting . . .
[07/08/25 15:50:50] - Connection closed, reconnecting . . .
[07/08/25 15:50:50] - Connection closed, reconnecting . . .
[07/08/25 17:50:35] - Connection closed, reconnecting . . .
